Номер сертификата о происхождении серийной продукции и дата его выдачи,"Производитель товара
(адрес производителя товара)","Наименование товара
(код ТН ВЭД ЕАЭС)","Статус сертификата о происхождении серийной продукции
(срок действия)"
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Полутушка ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, на подложке, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Спинка ЦБ, на подложке, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Спинка ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, на подложке, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, на подложке, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, вес, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, на подложке, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Ноги ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Головы ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Шея ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Суп домашний ЦБ, вес, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,3 - 1,5 кг., вес., зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Набор для Рагу ЦБ, в пакете, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Кожа ЦБ, вес., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,5 - 2,5 кг., групп., охл",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, групп., охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,3 - 1,5 кг., вес., охл., об. тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,3 - 1,5 кг., в пакете, охл., об. тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,3 - 1,6 кг., на подложке, охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, вес., охл., об. тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, вес., охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, вес., охл., об. тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, вес., охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Полутушка ЦБ, вес., охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Набор для Рагу ЦБ, вес., охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, вес., охл., об.тара
",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, вес., охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, вес., охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, вес., охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, вес., охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Шея ЦБ, вес., охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Спинка ЦБ, вес., охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Суп домашний ЦБ, вес., охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Головы ЦБ, вес., охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Ноги ЦБ, вес., охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Бедро ЦБ, на подложке, охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Голень ЦБ, на подложке, охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Грудка ЦБ, на подложке, охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Крыло ЦБ, на подложке, охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Филе ЦБ, на подложке, охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Четвертина задняя ЦБ, на подложке, охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, на подложке, охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, на подложке, охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, на подложке, охл., об.тара",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,3 - 1,8 кг., вес., охл., пром.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Суп домашний ЦБ, вес., охл., пром.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Шея ЦБ, вес., охл., пром.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Сердце ЦБ, вес., охл., пром.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Мышечный желудок ЦБ, вес., охл., пром.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Печень ЦБ, групп., охл., пром.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,0 - 1,3 кг., монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,3 - 1,7 кг., монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,7 - 2,5 кг., монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,0 - 1,1 кг., монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,1 - 1,2 кг., монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,2 - 1,3 кг., монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,3 - 1,4 кг., монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,4 - 1,5 кг., монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,5 - 1,6 кг., монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 1,6 - 1,7 кг., монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Цыплёнок Табака, в пакете, охл.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 1 сорт, 0,9 - 1,1 кг., монолит, зам.",Действителен до
KZ EA 4 107 00002,"Акционерное общество ""Усть-Каменогорская Птицефабрика""","Тушка ЦБ, 2 сорт, 1,0 - 1,3 кг., монолит, зам.",Действителен до
