Номер сертификата о происхождении серийной продукции и дата его выдачи,"Производитель товара
(адрес производителя товара)","Наименование товара
(код ТН ВЭД ЕАЭС)","Статус сертификата о происхождении серийной продукции
(срок действия)"
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Набор ЦБ, для ""Чахохбили"", вес., охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, на подложке, охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, на подложке, охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Грудка ЦБ, на подложке, охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Крыло ЦБ, на подложке, охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе ЦБ, на подложке, охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Четвертина задняя ЦБ, на подложке, охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Мышечный желудок ЦБ, на подложке, охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Печень ЦБ, на подложке, охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Сердце ЦБ, на подложке, охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Цыплёнок, для гриля, на подложке, охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Цыплёнок, для запекания, в пакете, охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,3 - 1,8 кг., вес., охл., пром.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Суп домашний ЦБ, вес., охл., пром.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Шея ЦБ, вес., охл., пром.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Сердце ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Мышечный желудок ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Сердце ЦБ, вес., охл., пром.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Мышечный желудок ЦБ, вес., охл., пром.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Печень ЦБ, групп., охл., пром.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,0 - 1,3 кг., монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,3 - 1,7 кг., монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,7 - 2,5 кг., монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, маринованная для запекания,, в пакете, охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Крылышки ЦБ, маринованные для запекания, в пакете, охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,0 - 1,1 кг., монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,1 - 1,2 кг., монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,2 - 1,3 кг., монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Крылышки ЦБ, маринованные для запекания, в пакете, охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,3 - 1,4 кг., монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,4 - 1,5 кг., монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,5 - 1,6 кг., монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,6 - 1,7 кг., монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Цыплёнок Табака , в пакете, охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 0,9 - 1,1 кг., монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 2 сорт, 1,0 - 1,3 кг., монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 2 сорт, 1,3 - 1,4 кг., монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 2 сорт, 1,4 - 1,5 кг., монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 2 сорт, 0,5 - 1,3 кг., монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Шея ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,5 - 2,5 кг., вес., охл., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Четвертина задняя ЦБ, вес., зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Четвертина задняя ЦБ, вес., охл., пром.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Жир-сырец ЦБ, вес., зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, вес., охл., пром.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Шея ЦБ, монолит, зам., пром.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Крыло ЦБ, монолит, зам., пром.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе ЦБ, монолит, зам., пром.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, монолит, зам., пром.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, монолит, зам., пром.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе кусковое ЦБ, групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе кусковое ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро с частью спинки ЦБ, вес., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро с частью спинки ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Кисть крыла ЦБ, монолит, зам., пром.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Плечевая и локтевая части крыла ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,0 - 1,3 кг., вес., охл., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Ноги ЦБ, вес., зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Ноги ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,0 - 1,3 кг., групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Четвертина задняя ЦБ, 1,5 кг и выше, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Локтевая часть крыла ЦБ, на подложке, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Плечевая часть крыла ЦБ, на подложке, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Головы ЦБ, вес., зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Шея ЦБ, групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Четвертина задняя ЦБ, 1,5 кг и выше, групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Окорочок ЦБ, групп., охл., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Окорочок ЦБ, монолит, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,1 - 1,2 кг., групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,0 - 1,1 кг., групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,2 - 1,3 кг., групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе бедра ЦБ, групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе бедра ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе бедра ЦБ, на подложке, охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе бедра с кожей ЦБ, групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе бедра с кожей ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Костный остаток ЦБ, блок, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Шея ЦБ, блок, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Кисть крыла ЦБ, блок, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Мясо ЦБ, блок, зам., мех.обвалки",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Печень ЦБ, блок, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Кожа ЦБ, блок, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Кожа бедра ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Кожа бедра ЦБ, вес., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Кожа голени ЦБ, вес., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе голени с кожей ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе голени ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Кожа голени ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе голени ЦБ, групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе голени с кожей ЦБ, групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе голени ЦБ, на подложке, охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, ""Мадрид"" соус по-испански, вак., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, ""Мехико"" соус по-мексикански, вак., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, ""Мадрид"" соус по-испански, вак., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, ""Мехико"" соус по-мексикански, вак., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе ЦБ, ""Мехико"" соус по-мексикански, вак., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Крыло ЦБ, ""Мадрид"" соус по-испански, вак., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Крыло ЦБ, ""Мехико"" соус по-мексикански, вак., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, ""По-восточному"", вак., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, для шашлыка ""По-кавказски"", вак., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Крыло ЦБ, ""Пикантное"", вак., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, маринованная, вак., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе ЦБ, ""Мадрид"" соус по-испански, вак., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,7 - 2,5 кг., монолит, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Четвертина задняя ЦБ, монолит, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Грудка ЦБ, на подложке, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Грудка ЦБ, монолит, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,7 - 1,8 кг., в пакете, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе ЦБ, монолит, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе ЦБ, на подложке, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Четвертина задняя ЦБ, на подложке, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, на подложке, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, на подложке, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, монолит, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе бедра с кожей ЦБ, монолит, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе бедра ЦБ, монолит, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Печень ЦБ, на подложке, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Мясо ЦБ, монолит, зам., мех.обвалки, Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Кожа ЦБ, монолит, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Мышечный желудок ЦБ, на подложке, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Сердце ЦБ, на подложке, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, ""Мадрид"" соус по-испански, вак., охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Крыло ЦБ, ""Мадрид"" соус по-испански, вак., охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, ""Мадрид"" соус по-испански, вак., охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, маринованная, вак., охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Крыло ЦБ, ""Пикантное"", вак., охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, ""По-восточному"", вак., охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, для шашлыка ""По-кавказски"", вак., охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Крыло ЦБ, ""Мехико"" соус по-мексикански, вак., охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, ""Мехико"" соус по-мексикански, вак., охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе ЦБ, ""Мехико"" соус по-мексикански, вак., охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, ""Мехико"" соус по-мексикански, вак., охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе ЦБ, ""Мадрид"" соус по-испански, вак., охл., об. тара",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Мышечный желудок ЦБ, на подложке, охл., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Филе ЦБ, групп., охл., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Четвертина задняя ЦБ, групп., охл., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Грудка ЦБ, групп., охл., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, групп., охл., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Печень ЦБ, на подложке, охл., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Сердце ЦБ, на подложке, охл., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, групп., охл., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро с частью спинки ЦБ, на подложке, охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, в маринаде ""Сливочное"", вак., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, в маринаде ""Нежная"", вак., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Плечевая часть крыла ЦБ, вес., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Локтевая часть крыла ЦБ, вес., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Ноги лом ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедрышки ЦБ, маринованные, вак., зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 2 сорт, 1,3 - 2,5 кг., групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Грудка без крыльев ЦБ, монолит, зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Мясо ЦБ, для донера, групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Крыло ЦБ, 2 сорт, групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,2 - 1,3 кг., монолит, зам., Э",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, маринованная, вак., зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Крылышки ЦБ, маринованные ""Особые"", вак., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Крылышки ЦБ, маринованные, вак., зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, маринованная ""Особая"", вак., зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Крылышки ЦБ, маринованные ""Особые"", вак., зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедрышки ЦБ,  маринованные ""Особые"", вак., зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Крыло ЦБ, для шашлыка ""По-Кавказски"", вак., зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Тушка ЦБ, 1 сорт, 1,3 - 1,4 кг., групп., охл.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Голень ЦБ, для шашлыка ""По-Кавказски"", вак., зам.",Срок действия истек
KZ EA 3 101 00002,ТОО «Макинская Птицефабрика»,"Бедро ЦБ, для шашлыка ""По-Кавказски"", вак., зам.",Срок действия истек
KZ EA 3 102 00006,ТОО «Первомайские деликатесы»,"Мясо крупного рогатого скота, 
замороженное / мясо 
обваленное / прочие / прочие / 
прочие",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Цыплята ""табака"" резаные 
охлажденное ГОСТ 31962-2013 
""Мясо кур (Тушки кур, цыплят, 
цыплят - бройлеров и их части). 
Технические условия""",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Тушка Цыпленка Бройлера 
охлажденная
 ГОСТ 31962-2013",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Цыплята ""Корнишон"" 
охлажденные 
ГОСТ 31962-2013 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Головы кур, охлажденные 
СТ РК 2059-2010 ""Субпродуктов 
птицы. Технические условия""",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Желудки Цыплят Бройлеров, 
охлажденные 
СТ РК 2059-2010 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Лапки кур, охлажденные 
СТ РК 2059-2010 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Печень Цыпленка Бройлера, 
охлажденная 
СТ РК 2059-2010 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Сердце Цыпленка Бройлера, 
охлажденное 
СТ РК 2059-2010 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Шейки Цыпленка Бройлера, 
охлажденные 
СТ РК 2059-2010 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Бедро бескостное Цыпленка 
Бройлера охлажденное 
ГОСТ 31962-2013 ""Мясо кур 
(Тушки кур, цыплят, цыплят - 
бройлеров и их части). 
Технические условия""",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Бедро Цыпленка Бройлера 
охлажденное 
ГОСТ 31962-2013 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Голень Цыпленка Бройлера 
охлажденная 
ГОСТ 31962-2013 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Грудинка Цыпленка Бройлера 
охлажденная
ГОСТ 31962-2013 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Крылышки Цыпленка 
Бройлера охлажденные 
ГОСТ 31962-2013 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Малое филе грудки Цыпленка 
Бройлера охлажденное 
ГОСТ 31962-2013 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Окорочок ЦБ охлажденный 
ГОСТ 31962-2013",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Филе Цыпленка Бройлера 
охлажденное
 ГОСТ 31962-2013 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Филе грудки Цыпленка 
Бройлера охлажденное 
ГОСТ 31962-2013 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Суповой набор №1 (резанный) 
охлажденный 
ГОСТ 31962-2013 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Суповой набор №2 (каркас) 
охлажденный 
ГОСТ 31962-2013 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Шкурки Цыпленка Бройлера, 
охлажденные 
СТ РК 2059-2010",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Набор для рагу из Цыпленка 
Бройлера охлажденный
ГОСТ 31962-2013 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Цыплята ""табака"" резаные 
замороженные
ГОСТ 31962-2013",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Тушка Цыпленка Бройлера,  
ГОСТ 31962-2013 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Цыплята ""Корнишон"" 
замороженные 
ГОСТ 31962-2013 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Головы кур, замороженные
 СТ РК 2059-2010",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Желудки Цыплят Бройлеров, 
замороженные 
СТ РК 2059-2010 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Жир Цыпленка Бройлеров 
замороженный 
СТ РК 2059-2010",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Лапки Кур, замороженные 
СТ РК 2059-2010 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Печень Цыпленка Бройлера, 
замороженная 
СТ РК 2059-2010 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Сердце Цыпленка Бройлера, 
замороженное 
СТ РК 2059-2010 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Шейки Цыпленка Бройлера, 
замороженные 
СТ РК 2059-2010 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Бедро бескостное Цыпленка 
Бройлера замороженное
 ГОСТ 31962-2013 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Бедро Цыпленка Бройлера 
замороженное
 ГОСТ 31962-2013",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Голень Цыпленка Бройлера 
замороженная 
ГОСТ 31962-2013 ",Срок действия истек
KZ EA 3 102 00005,"АО ""Алель Агро""","Грудинка Цыпленка Бройлера 
замороженная 
ГОСТ 31962-2013",Срок действия истек
