Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/ импортера,Статус сертификата,Дата выдачи,20.03.2025
KZ VN 9 101 00723,Палата предпринимателей г. Астаны,«EAV»,1800039,81140011987.0,"""Logos Grain"" LLС","13, Tauelsizdik avenue,  Nur-Sultan city,  Republic of Kazakhstan","Kazakhstan wheat,     
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,16.05.2019,16.05.2020
KZ VN 9 101 00709,Палата предпринимателей г. Астаны,«EAV»,1800038,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Nur-Sultan city,  Republic of Kazakhstan","Kazakhstan wheat,     
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,14.05.2019,14.05.2020
KZ VN 9 101 00704,Палата предпринимателей г. Астаны,«EAV»,1800037,81140011987.0,"""Logos Grain"" LLС","13, Tauelsizdik avenue, Nur-Sultan city,  Republic of Kazakhstan","Kazakhstan wheat,     
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,13.05.2019,13.05.2020
KZ VN 9 101 00660,Палата предпринимателей г. Астаны,«EAV»,1800035,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat, 
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,03.05.2019,03.05.2020
KZ VN 9 101 00661,Палата предпринимателей г. Астаны,«EAV»,1800036,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat, 
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,03.05.2019,03.05.2020
KZ VN 9 101 00649,Палата предпринимателей г. Астаны,«EAV»,1800034,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat,  
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,02.05.2019,02.05.2020
KZ VN 9 101 00629,Палата предпринимателей г. Астаны,«EAV»,1800033,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat,     
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,26.04.2019,26.04.2020
KZ VN 9 101 00568,Палата предпринимателей г. Астаны,«EAV»,1800031,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat,     
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,19.04.2019,19.04.2020
KZ VN 9 101 00569,Палата предпринимателей г. Астаны,«EAV»,1800032,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat,     
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,19.04.2019,19.04.2020
KZ VN 9 101 00452,Палата предпринимателей г. Астаны,«EAV»,1800030,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat,     HS code: 1001 99",1001990000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,28.03.2019,28.03.2020
KZ VN 9 101 00415,Палата предпринимателей г. Астаны,«EAV»,1800029,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan on behalf of Interflour Group PTE LTD","Kazakhstan wheat,     HS code: 1001 99",1001990000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,20.03.2019,20.03.2020
KZ VN 9 101 00395,Палата предпринимателей г. Астаны,«EAV»,1800028,81140011987.0,"""Logos Grain"" LLP","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat,     
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,15.03.2019,15.03.2020
KZ VN 9 101 00362,Палата предпринимателей г. Астаны,«EAV»,1800027,81140011987.0,"""Logos Grain"" LLP","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat,     
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,06.03.2019,06.03.2020
KZ VN 9 110 01502,Палата предпринимателей Карагандинской области,«EAV»,1600541,951140000042.0,"JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL COILS -  SECONDARY

                Size(mm)                 

               1.20-13.00   450-1550    coil 
 
HS CODE: 7208","7208540000, 7208539000, 7208529900","""PE""",Республика Казахстан,Вьетнам,Истек срок действия сертификата,05.03.2019,05.03.2020
KZ VN 9 110 01503,Палата предпринимателей Карагандинской области,«EAV»,1600542,951140000042.0,"Manufacturer / Mill : JSC ""ARCELORMITTAL TEMIRTAU""","1, REPUBLIC  AVENUE, TEMIRTAU 101407, KARAGANDA OBL, KAZAKHSTAN","HOT ROLLED STEEL COILS -
OVERROLLING

       Size(mm)                 

       1.20-13.00   450-1550    coil 
 
HS CODE: 7208","7208540000, 7208539000, 7208529900","""PE""",Республика Казахстан,Вьетнам,Истек срок действия сертификата,05.03.2019,05.03.2020
KZ VN 9 101 00324,Палата предпринимателей г. Астаны,«EAV»,1800025,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan on behalf of Interflour Group PTE LTD","Kazakhstan wheat, HS code: 1001 99",1001990000,"""P""",Республика Казахстан,Вьетнам,Истек срок действия сертификата,26.02.2019,26.02.2020
KZ VN 9 101 00297,Палата предпринимателей г. Астаны,«EAV»,1800024,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat,     HS code: 1001 99",1001990000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,21.02.2019,21.02.2020
KZ VN 9 104 00344,Палата предпринимателей Актюбинской области,«EAV»,1700534,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","Chromium Trioxide
(Chromic Acid Solid)
Foreign trade statistic
number: 2819100000

barrels 50 kg",2819100000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,15.02.2019,15.02.2020
KZ VN 9 104 00345,Палата предпринимателей Актюбинской области,«EAV»,1700535,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","Chromium Trioxide
(Chromic Acid Solid)
Foreign trade statistic
number: 2819100000

barrels 50 kg",2819100000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,15.02.2019,15.02.2020
KZ VN 9 104 00346,Палата предпринимателей Актюбинской области,«EAV»,1700536,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","Chromium Trioxide
(Chromic Acid Solid)
Foreign trade statistic
number: 2819100000

barrels 50 kg",2819100000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,15.02.2019,15.02.2020
KZ VN 9 104 00347,Палата предпринимателей Актюбинской области,«EAV»,1700537,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","Chromium Trioxide
(Chromic Acid Solid)
Foreign trade statistic
number: 2819100000

barrels 50 kg",2819100000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,15.02.2019,
KZ VN 9 104 00348,Палата предпринимателей Актюбинской области,«EAV»,1700538,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","Chromium Trioxide
(Chromic Acid Solid)
Foreign trade statistic
number: 2819100000

barrels 50 kg",2819100000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,15.02.2019,
KZ VN 9 104 00349,Палата предпринимателей Актюбинской области,«EAV»,1700539,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","Chromium Trioxide
(Chromic Acid Solid)
Foreign trade statistic
number: 2819100000

barrels 50 kg",2819100000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,15.02.2019,
KZ VN 9 101 00197,Палата предпринимателей г. Астаны,«EAV»,1800023,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan  on behalf of Interflour Group PTE LTD","Kazakhstan wheat, HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,04.02.2019,
KZ VN 9 101 00164,Палата предпринимателей г. Астаны,«EAV»,1800021,81140011987.0,"""Logos Grain"" LLС","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat, HS code: 1001 99.",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,30.01.2019,
KZ VN 9 101 00165,Палата предпринимателей г. Астаны,«EAV»,1800022,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat,
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,30.01.2019,
KZ VN 9 101 00145,Палата предпринимателей г. Астаны,«EAV»,1800020,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat,     HS code: 1001 99",1001990000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,28.01.2019,
KZ VN 9 101 00087,Палата предпринимателей г. Астаны,«EAV»,1800019,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat, HS code: 1001 99 Packing in PP bag in container",1001990000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,18.01.2019,
KZ VN 9 101 00050,Палата предпринимателей г. Астаны,«EAV»,1800018,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan on behalf of Interflour Group PTE LTD","Kazakhstan wheat, HS code: 1001 99",1001990000,"""P""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,14.01.2019,
KZ VN 9 101 00051,Палата предпринимателей г. Астаны,«EAV»,1800017,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat,
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,14.01.2019,
KZ VN 9 104 00061,Палата предпринимателей Актюбинской области,«EAV»,1700533,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","CHROME OXIDE PIGMENT
Foreign trade statistic
number: 2819909000

in big-bags 1000 kg net",2819909000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,11.01.2019,
KZ VN 9 104 00025,Палата предпринимателей Актюбинской области,«EAV»,1700280,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","CHROME OXIDE PIGMENT
Foreign trade statistic
number: 2819909000

in big-bags 1000 kg net",2819909000,PE,Республика Казахстан,Вьетнам,Сертификат аннулирован,08.01.2019,
KZ VN 9 104 00027,Палата предпринимателей Актюбинской области,«EAV»,1700531,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","CHROME OXIDE PIGMENT
Foreign trade statistic
number: 2819909000

in big-bags 1000 kg net",2819909000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,08.01.2019,
KZ VN 9 104 00028,Палата предпринимателей Актюбинской области,«EAV»,1700532,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","CHROME OXIDE PIGMENT
Foreign trade statistic
number: 2819909000

in big-bags 1000 kg net",2819909000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,08.01.2019,
KZ VN 9 101 00007,Палата предпринимателей г. Астаны,«EAV»,1800015,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan on behalf of Interflour Group PTE LTD","Kazakhstan wheat, HS code: 1001 99",1001990000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,04.01.2019,
KZ VN 9 101 00008,Палата предпринимателей г. Астаны,«EAV»,1800016,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue, Astana city, Republic of Kazakhstan on behalf of Interflour Group PTE LTD","Kazakhstan wheat,     HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,04.01.2019,
KZ VN 8 101 01936,Палата предпринимателей г. Астаны,«EAV»,1800014,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan on behalf of LAND BRIDGE INTERNATIONAL PTE LTD","Kazakhstan wheat,
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Сертификат аннулирован,29.12.2018,
KZ VN 8 101 01875,Палата предпринимателей г. Астаны,«EAV»,1800013,81140011987.0,"""Logos Grain"" LLС","13, Tauelsizdik avenue,  Astana city, Republic of Kazakhstan on behalf of Interflour Group PTE LTD","Kazakhstan wheat,
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,24.12.2018,
KZ VN 8 101 01863,Палата предпринимателей г. Астаны,«EAV»,18000012,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan on behalf of INTERFLOUR GROUP PTE LTD","Kazakhstan wheat, HS code: 1001 99",1001990000,WO,Республика Казахстан,Viet Nam,Истек срок действия сертификата,21.12.2018,
KZ VN 8 101 01832,Палата предпринимателей г. Астаны,«EAV»,1800001,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat, HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,19.12.2018,
KZ VN 8 101 01814,Палата предпринимателей г. Астаны,«EAV»,1800009,81140011987.0,"""Logos Grain"" LLС","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan on behalf of Interflour Group PTE LTD","Kazakhstan wheat, HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,14.12.2018,
KZ VN 8 101 01815,Палата предпринимателей г. Астаны,«EAV»,1800010,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan on behalf of Interflour Group PTE LTD","Kazakhstan wheat, 
HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,14.12.2018,
KZ VN 8 101 01792,Палата предпринимателей г. Астаны,«EAV»,1800008,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan on behalf of Interflour Group PTE LTD","Kazakhstan wheat, HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,12.12.2018,
KZ VN 8 104 03012,Палата предпринимателей Актюбинской области,«EAV»,1700279,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","Chromium Trioxide
(Chromic Acid Solid)
Foreign trade statistic
number: 2819100000

barrels 50 kg",7202419000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,06.12.2018,
KZ VN 8 101 01726,Палата предпринимателей г. Астаны,«EAV»,1800007,81140011987.0,"""Logos Grain"" LLP","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat, 
HS code: 1001 99.",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,05.12.2018,
KZ VN 8 111 04205,Палата предпринимателей Костанайской области,«EAV»,1600672,910540000047.0,"JSC ""Kostanai minerals""","Kazakhstan, 67 Lenin Str.,city Zhitikara,Kostanayskaya oblast,110700",Chrysotile asbestos 3-60,2524900000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,05.12.2018,
KZ VN 8 101 01726,Палата предпринимателей г. Астаны,«EAV»,1800007,,Logos Grain LLP,"13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat, 
HS code: 1001 99.",1001990000,WO,Республика Казахстан,Viet Nam,Выдан взамен,05.12.2018,
KZ VN 8 101 01690,Палата предпринимателей г. Астаны,«EAV»,1800006,81140011987.0,"""Logos Grain"" LLP","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat, 
HS code: 1001 99.",1001990000,"""WO""",Республика Казахстан,Viet Nam,Сертификат аннулирован,28.11.2018,28.11.2019
KZ VN 8 104 02917,Палата предпринимателей Актюбинской области,«EAV»,1700273,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","Chromium Trioxide
(Chromic Acid Solid)
Foreign trade statistic
number: 2819100000

barrels 50 kg",7202419000,PE,Республика Казахстан,Вьетнам,Сертификат аннулирован,28.11.2018,28.11.2019
KZ VN 8 104 02918,Палата предпринимателей Актюбинской области,«EAV»,1700274,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","Chromium Trioxide
(Chromic Acid Solid)
Foreign trade statistic
number: 2819100000

barrels 50 kg",7202419000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,28.11.2018,28.11.2019
KZ VN 8 104 02922,Палата предпринимателей Актюбинской области,«EAV»,1700275,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","Chromium Trioxide
(Chromic Acid Solid)
Foreign trade statistic
number: 2819100000

barrels 50 kg",7202419000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,28.11.2018,28.11.2019
KZ VN 8 104 02923,Палата предпринимателей Актюбинской области,«EAV»,1700276,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","Chromium Trioxide
(Chromic Acid Solid)
Foreign trade statistic
number: 2819100000

barrels 50 kg",7202419000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,28.11.2018,28.11.2019
KZ VN 8 104 02924,Палата предпринимателей Актюбинской области,«EAV»,1700277,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","Chromium Trioxide
(Chromic Acid Solid)
Foreign trade statistic
number: 2819100000

barrels 50 kg",7202419000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,28.11.2018,28.11.2019
KZ VN 8 104 02925,Палата предпринимателей Актюбинской области,«EAV»,1700278,950640000404.0,AKTYUBINSK CHROMIUM CHEMICALS PLANT,"030015, Aktobe, Industrial Zone , 15 B, Republic of Kazakhstan","Chromium Trioxide
(Chromic Acid Solid)
Foreign trade statistic
number: 2819100000

barrels 50 kg",7202419000,PE,Республика Казахстан,Вьетнам,Истек срок действия сертификата,28.11.2018,28.11.2019
KZ VN 8 101 01647,Палата предпринимателей г. Астаны,«EAV»,1800005,81140011987.0,"""Logos Grain"" LLP","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat, HS code: 1001 99.",1001990000,"""WO""",Республика Казахстан,Viet Nam,Сертификат аннулирован,23.11.2018,23.11.2019
KZ VN 8 101 01610,Палата предпринимателей г. Астаны,«EAV»,1800004,81140011987.0,"""Logos Grain"" LLC","13, Tauelsizdik av.,  Astana city,  Republic of Kazakhstan on behalf of Interflour Group PTE LTD","Kazakhstan wheat, HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,16.11.2018,16.11.2019
KZ VN 8 101 01457,Палата предпринимателей г. Астаны,«EAV»,1800002,81140011987.0,"""Logos Grain"" LLP","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat, HS code: 1001 99.",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,23.10.2018,23.10.2019
KZ VN 8 101 01458,Палата предпринимателей г. Астаны,«EAV»,1800003,81140011987.0,"""Logos Grain"" LLP","13, Tauelsizdik avenue,  Astana city,  Republic of Kazakhstan","Kazakhstan wheat, HS code: 1001 99",1001990000,"""WO""",Республика Казахстан,Viet Nam,Истек срок действия сертификата,23.10.2018,23.10.2019
KZ VN 8 116 04689,Палата предпринимателей Южно-Казахстанской области,«EAV»,1600912,340007823.0,"""Seyitbek auleti"" LLP","17 Gagarin str., Kazygurt village, Kazygurt district, South Kazakhstan region, The Republic of Kazakhstan","Gromwell (Arnebia euchroma) 
HScode 121190",1211908609,WO,Республика Казахстан,Вьетнам,Истек срок действия сертификата,04.10.2018,04.10.2019
