id,industrial_certificate_number
1325,№ ТС KZ.3510317.22.01.00104
1326,"№ ТС KZ.3510317.22.01.00104


№ ТС KZ.3510317.22.01.00105"
1329,№ ТС KZ.3510317.22.01.00105
1338,№ ТС KZ.3510317.01.01.14035
1350,Сертификат соответствия продукции №KZ.7700.02.01.00730412
1360,KZ.7500651.01.01.06779
1361,KZ.7500651.01.01.06780
1362,KZ.7500651.01.01.06781
1363,KZ.7500651.01.01.06782
1364,KZ.7500651.01.01.06783
1365,KZ.7500651.01.01.06784
1367,KZ.7500651.01.01.06785
1368,KZ.7500651.01.01.06786
1370,KZ.7500651.01.01.06787
1371,KZ.7500651.01.01.06788
1372,KZ.7500651.01.01.06789
1373,KZ.7500651.24.01.01318
1374,KZ.7500651.24.01.01317
1375,KZ.7500651.01.01.06790
1376,KZ.7500651.01.01.06791
1377,KZ.7500651.01.01.06792
1378,KZ.7500651.22.01.00847
1379,"KZ.7700.02.01.00673109
KZ.7700.02.01.00712340
KZ.7700.02.01.00739732"
1380,ЕAЭС KZ 7100984.13.12.00093
1387,KZ.3110317.24.01.05097
1432,KZ.3110317.24.01.05098
1464,KZ.3110317.22.01.00518
1627,"Сертификат ISO 13485:2016 № KAS-140220-00002,
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00675256
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00643285, выданный РГП ПХВ «Национальный центр экспертизы ЛС и МИ»
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00657912, выданный РГП ПХВ «Национальный центр экспертизы ЛС и МИ»
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00690969, выданный РГП ПХВ «Национальный центр экспертизы ЛС и МИ»
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00690970, выданный РГП ПХВ «Национальный центр экспертизы ЛС и МИ»
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00691005, выданный РГП ПХВ «Национальный центр экспертизы ЛС и МИ»
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00758356, выданный РГП ПХВ «Национальный центр экспертизы ЛС и МИ»
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00660982, выданный РГП ПХВ «Национальный центр экспертизы ЛС и МИ»
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00667095, выданный РГП ПХВ «Национальный центр экспертизы ЛС и МИ»
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00667096, выданный РГП ПХВ «Национальный центр экспертизы ЛС и МИ»
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00675254, выданный РГП ПХВ «Национальный центр экспертизы ЛС и МИ»
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00752577, выданный РГП ПХВ «Национальный центр экспертизы ЛС и МИ»"
1857,Декларация соответствия KZ.3110317.24.01.05190 10.09.2019 - 21.06.2022 г.
1858,Декларация о соответствии ЕАЭС № KZ Д-KZ.0317.B.00068
1862,Сетрификат соответствия №ЕАЭС ТС KZ C-KZ.0317.B.00014 Серия KZ №0168718
1863,Декларация о соответствии ЕАЭС № KZ Д-KZ.0317.B.00067
2859,№ ЕАЭС KZ 3510317.01.01.00332
1628,"Сертификат ISO 13485:2016 № KAS-140220-00002,
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00675256,
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00643285, 
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00657912,
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00690969, 
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00690970, 
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00691005, 
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00758356, 
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00660982,
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00667095, 
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00667096,
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00675254, 
Сертификат соответствия продукции (при декларировании) № КZ.7700.02.01.00752577,"
1629,Сертификат ISO 13485:2016 № KAS-140220-00002
1650,№KZ.7700.02.01.00751226
1651,№KZ.7700.02.01.00724388
1652,№KZ.7700.02.01.00724483
1653,№KZ.7700.02.01.00755554
1654,№KZ.7700.02.01.00751694
1655,№KZ.7700.02.01.00760056
1656,№KZ.7700.02.01.00719855
1657,№KZ.7700.02.01.00767127
1658,№KZ.7700.02.01.00739472
1659,№KZ.7700.02.01.00744754
1660,№KZ.7700.02.01.00736080
1661,№KZ.7700.02.01.00729739
1662,№KZ.7700.02.01.00744073
1663,№KZ.7700.02.01.00741164
1664,№KZ.7700.02.01.00746011
1665,№KZ.7700.02.01.00748872
1666,№KZ.7700.02.01.00720332
1667,№KZ.7700.02.01.00754772
1668,№KZ.7700.02.01.00724373
1669,№KZ.7700.02.01.00715412
1670,№KZ.7700.02.01.00766145
1671,№KZ.7700.02.01.00703518
1672,№KZ.7700.02.01.00746007
1673,№KZ.7700.02.01.00729156
1674,№KZ.7700.02.01.00752959
1675,№KZ.7700.02.01.00677347
1676,№KZ.7700.02.01.00764640
1677,№KZ.7700.02.01.00766875
1678,№KZ.7700.02.01.00751604
1679,№KZ.7700.02.01.00752611
1680,№KZ.7700.02.01.00742517
1681,№KZ.7700.02.01.00762814
1682,№KZ.7700.02.01.00764336
1683,"KZ.7500995.22.01.00125
6203291100"
1684,"KZ.7500995.22.01.00124
6203221000"
1691,"KZ.7500995.22.01.00123
6203291100"
1693,"KZ.7500995.22.01.
00122
6211331000"
1694,"KZ.7500995.22.01.00122
6211331000"
1699,"KZ.7500995.22.01.00121
6203425100"
1700,"KZ.7500955.01.01.
00405 
6211421000"
1701,"KZ.7500955.01.01.
00406
6205908009"
1702,"KZ.7500955.01.01.
00407
6206909000"
1703,"KZ.7500995.0101.
00408
6211331000"
1704,"KZ.7500995.24.01.02149
6116108000"
1705,"KZ.7500995.24.01.02148
6216000000"
1706,"KZ.7500995.24.01.02148 
6216000000"
1715,"KZ.7500995.24.01.02147
6203231000"
1719,"KZ.7500995.24.01.02150 
6203431900"
1720,"KZ.7500995.24.01.02151 
6505003000"
1721,"KZ.7500995.24.01.02152
6506108000"
1722,"KZ.7500995.24.01.02153
6201930000"
1723,"KZ.7500995.24.01.02154
6505009000"
1724,"KZ.7500995.24.01.02155
9404299000"
1725,"KZ.7500995.24.01.02156
9404909000"
1726,KZ.7500995.24.01.02 156 6211321000
1727,"KZ.7500995.24.01.02157
9404901000"
1728,"KZ.7500995.22.01.00105
6207110000"
1730,"KZ.7500995.22.01.00106
6207210000"
1732,"KZ.7500995.22.01.00106
6207290000"
1733,"KZ.7500995.22.01.00107
6302310009"
1738,"KZ.7500995.22.01.00108
6302310000"
1739,"KZ.7500995.22.01.00109
6109902000"
1741,"KZ.7500995.22.01.00120
6211421000"
1742,"KZ.7500995.22.01.00119
6216000000"
1743,"KZ.7500995.22.01.00118
6203433100"
1747,"KZ.7500995.22.01.00117
6201990000"
1748,"KZ.7500995.22.01.00116
6203221000"
1750,"KZ.7500995.22.01.00115
6203231000"
1752,"KZ.7500995.22.01.00112
6203291100"
1753,"KZ.7500995.22.01.00111
6203431100"
1754,"KZ.7500995.22.01.00110
6211321000"
1764,KZ.7500995.22.01.00 125  6211321000
1765,KZ.7500995.22.01.00 124  6211321000
1782,Регистрационное удостоверение РК-МИ (in vitro) - №022973
1783,KZ № 0131040
1787,KZ№ 0028959
1792,KZ № 0131039
1797,KZ№0131043 от
1799,KZ№0131039
1804,KZ№ 0232123
1824,KZ №0131042
1826,KZ.3110317.22.01.00567 Серия KZ №0028913
1829,KZ.3110317.22.01.00646 Серия KZ №0130999
1830,KZ.3110317.22.01.00645 Серия KZ №0130998
1831,KZ.3110317.22.01.00642 Серия KZ №0130997
1833,KZ.3110317.22.01.00641 Серия KZ №0130996
1834,KZ.3110317.22.01.00640 Серия KZ №0130995
1835,KZ.3110317.22.01.00638 Серия KZ №0130993
1836,KZ.3110317.22.01.00639 Серия KZ №0130994
1837,KZ.3110317.22.01.00647 Серия KZ №0131000
1841,KZ.3110317.22.01.00643 Серия KZ №0131002
1845,KZ.3110317.22.01.00648 Серия KZ №0131001
1849,KZ.3110317.22.01.00644 Серия KZ №0131003
1853,KZ.3110317.22.01.00573 Серия KZ №0028918
2355,KZ.7700.02.01.00812614/
1865,Декларация о соответствии ЕАЭС № KZ Д-KZ.0317.B.00066
1866,Сетрификат соответствия №ЕАЭС ТС KZ C-KZ.0317.B.00016 Серия KZ №0168719
1871,Декларация о соответствии ЕАЭС № KZ Д-KZ.0317.B.00065
1872,Декларация о соответствии ЕАЭС № KZ Д-KZ.0317.B.00064
1873,"Декларация о соответствии ЕАЭС KZ
KZ. 5110317.13.12.00210"
1874,"Декларация о соответствии ЕАЭС KZ
KZ. 5110317.13.12.00211"
1877,"Декларация о соответствии ЕАЭС KZ
KZ. 5110317.13.12.00212"
1879,"Сертификат соответствия ЕАЭС KZ KZ.
5110317.01.01.00032
Серия KZ №0168730"
1885,Регистрационное удостоверение РК-ИМН-5№004026; №KZ.7700.02.01.00757823 ; №KZ.7700.02.01.00757817 ; №KZ.7700.02.01.00758077 ; №KZ.7700.02.01.00757361 ; №KZ.7700.02.01.00758404 ; №KZ.7700.02.01.00757656 ; №KZ.7700.02.01.00758399 .; №KZ.7700.02.01.00758405
1888,Регистрационное удостоверение PK-ИMH-5№020562
1889,Регистрационное удостоверение РК-ИМН-5№004027 ; №KZ.7700.02.01.00758402; №KZ.7700.02.01.00758073 .; №KZ.7700.02.01.00757487 ; №KZ.7700.02.01.00758401.
1890,Регистрационное удостоверение PK-ИMH-5№000565 ; №KZ.7700.02.01.00741509; №KZ.7700.02.01.00769962 ; №KZ.7700.02.01.00741512 ; №KZ.7700.02.01.00740936 .
1891,Регистрационное удостоверение PK-ИMH-5№0l9795
1892,Регистрационное удостоверение РК-ИМH-5№019796
1894,Регистрационное удостоверение РК-ИМH-5№020566
1896,Регистрационное удостоверение РК-ИМН-5№020563
1898,Регистрационное удостоверение PK-ИMH-5№001273 ; №KZ.7700.02.01.00757375
1899,Регистрационное удостоверение PK-ИMH-5№010011; №KZ.7700.02.01.00729390
1900,Регистрационное удостоверение PK-ИMH-5№019794
1901,Регистрационное удостоверение PK-ИMH-5№019797
1902,Регистрационное удостоверение PK-ИMH-5№021392
1903,KZ.7500937.01.01.00026
1904,KZ.7500937.01.01.00027
1905,KZ.7500937.01.01.00028
1907,KZ.7500937.01.01.00029
1960,ЕАЭС KZ 7500986.01.01.01001
1968,# KZ. 7500361.22.01.03253
1977,# KZ. 7500361.22.01.03254
1989,# KZ. 7500361.22.01.03255
2001,# KZ. 7500361.22.01.03251
2027,# KZ. 7500361.22.01.03252
2036,# РОСС RU C-KZ.АЯ09.В.00050/20
2107,KZ.7500651.22.01.00822
2111,KZ. 75000651.24.01.01292
2123,KZ.7500651.24.01.01293
2127,KZ.7500651.22.01.00823
2139,KZ.7500651.22.01.00824
2143,KZ.7500651.22.01.00825
2147,KZ.7500651.22.01.00834
2150,KZ.7500651.22.01.00827
2153,KZ.7500651.22.01.00828
2155,KZ.7500651.24.01.01294
2159,KZ.7500651.24.01.01295
2162,KZ.7500651.22.01.0829
2168,KZ.7500651.24.01.01296
2171,KZ.7500651.22.01.00830
2173,KZ.7500651.22.01.00831
2176,KZ.7500651.22.01.00833
2214,КZ.7500651.22.01.01038
2215,KZ.7500651.24.01.01430
2217,"ТС KZ C-KZ.0651.B.00047, 4465/ЛП"
2218,Сертификат соответствия ЕАЭС ТС KZ C-KZ.0651.B.00047
2219,Сертификат соответствия ЕАЭС ТС KZ C-KZ.0651.B.00048
2220,Декларация соответствия ЕАЭС N KZ Д-KZ.0651.B.00071
2223,Декларация соответствия ЕАЭС KZ.7500651.24.01.01433
2224,Декларация соответствия ЕАЭС KZ.7500651.24.01.01431
2225,Декларация соответствия ЕАЭС KZ.7500651.13.12.03120
2226,Сертификат соответствия ЕАЭС KZ.7500651.01.01.01276
2228,Сертификат соответствия ЕАЭС KZ.7500651.01.01.01277
2271,KZ.3110317.22.01.00611
2272,KZ.3110317.22.01.00613
2274,KZ.3110317.22.01.00612
2276,KZ.3110317.22.01.00618
2277,KZ.3110317.22.01.00617
2278,KZ.3110317.22.01.00616
2279,KZ.3110317.22.01.00614
2280,KZ.3110317.22.01.00615
2281,KZ.3110317.24.01.05255
2283,KZ.3110317.24.01.05256
2284,KZ.3110317.24.01.05257
2285,KZ.3110317.24.01.05258
2298,KZ.7500986.22.01.02016
2299,KZ.7500986.22.01.02017
2300,KZ.7500986.22.01.02018
2301,KZ.7500986.22.01.02019
2302,KZ.7500986.22.01.02029
2304,KZ.7500986.24.01.02105
2305,KZ.7500986.24.01.02110
2306,KZ.7500986.24.01.02106
2307,KZ.7500986.24.01.02092
2308,KZ.7500986.24.01.02091
2309,KZ.7500986.24.01.02090
2310,KZ.7500986.24.01.02089
2311,KZ.7500986.24.01.02107
2312,KZ.7500986.24.01.02087
2313,KZ.7500986.24.01.02108
2314,KZ.7500986.24.01.02109
2315,KZ.7500986.24.01.02093
2316,KZ.7500986.24.01.02086
2326,ЕАЭС № KZ.5910317.24.01.01513
2327,ЕАЭС № KZ.5910317.24.01.01511
