document_id,issue_date,end_date,authorisation_licence,manufacturer_name,bin_iin
KZ.3110317.22.01.00638 Серия KZ №0130993,2020-03-13,2022-06-21,-,ИП Имажанов,840301300754
KZ.7500995.01.01.00386,2021-03-17,2022-03-17,не лицензируемый вид деятельности,ТОО «Design ProClothes»,101040008226
KZ.7500995.01.01.00387,2021-03-17,2022-03-17,не лицензируемый вид деятельности,ТОО «Design ProClothes»,101040008226
KZ.7500995.01.01.00388,2021-03-17,2022-03-17,не лицензируемый вид деятельности,ТОО «Design ProClothes»,101040008226
KZ.7500995.01.01.00389,2021-03-17,2022-03-17,не лицензируемый вид деятельности,ТОО «Design ProClothes»,101040008226
KZ.7500995.01.01.00390,2021-03-17,2022-03-17,не лицензируемый вид деятельности,ТОО «Design ProClothes»,101040008226
KZ.7500995.01.01.00391,2021-03-17,2022-03-17,не лицензируемый вид деятельности,ТОО «Design ProClothes»,101040008226
KZ.7500995.01.01.00392,2021-03-17,2022-03-17,не лицензируемый вид деятельности,ТОО «Design ProClothes»,101040008226
KZ.7500995.01.01.00393,2021-03-17,2022-03-17,не лицензируемый вид деятельности,ТОО «Design ProClothes»,101040008226
KZ.7100749.01.01.00816,2021-01-20,2022-01-20,-,"Товарищество с ограниченной ответственностью ""ТеплоСнаб""",111040014381
№ ЕАЭС KZ.7500986.22.01.02021 Cерия KZ № 0178506,,,не требуется,ТОО Logitex,51140006757
KZ.7500985.01.01.01988,2021-02-12,2022-02-12,"",Товарищество с  ограниченной  ответственностью  АЛПРОФ,31040001927
KZ.7500317.01.01.22808,2020-12-29,2021-12-29,"",Товарищество с  ограниченной  ответственностью  АЛПРОФ,31040001927
KZ.7500985.01.01.01868,2020-07-04,2021-07-04,"",Товарищество с  ограниченной  ответственностью  АЛПРОФ,31040001927
KZ.7500985.01.01.01871,2020-07-05,2021-07-05,"",Товарищество с  ограниченной  ответственностью  АЛПРОФ,31040001927
KZ.7500985.01.01.01870,2020-07-05,2021-07-05,"",Товарищество с  ограниченной  ответственностью  АЛПРОФ,31040001927
KZ.7500985.01.01.01869,2020-07-05,2021-07-05,"",Товарищество с  ограниченной  ответственностью  АЛПРОФ,31040001927
KZ.7500985.01.01.01995,2021-02-12,2022-02-12,"",Товарищество с  ограниченной  ответственностью  АЛПРОФ,31040001927
Сертификат соответствия ЕАЭС № KZ.7500986.22.014005,2021-03-05,2022-03-05,-,ТОО «Самрук Коргалжын»,140940027666
№ЕАЭС KZ.7500851.22.01.02862,2020-06-11,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02863,2020-06-11,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02864,2020-06-11,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02865,2020-06-11,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02866,2020-06-11,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02868,2020-06-11,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02829,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.30,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02830,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02831,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02832,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02833,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02834,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02835,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02836,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02837,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02838,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.22.01.02822,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.01.01.03328,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.01.01.03329,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.01.01.03330,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.01.01.03331,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.01.01.03332,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ЕАЭС KZ.7500851.01.01.03333,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№KZ.7500851.24.01.21527,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№KZ.7500851.24.01.21528,2020-03-19,2022-12-20,-,ТОО «Тарлан К»,190140033086
№ KZ2710317.24.01.01609,2021-03-25,2022-03-25,-,ТОО Ami-service group-2012,121240008207
№ KZ2710317.24.01.01610,2021-03-25,2022-03-25,-,ТОО Ami-service group-2012,121240008207
KZ2710317.24.01.01611,2021-03-25,2022-03-25,-,ТОО Ami-service group-2012,121240008207
№ KZ.7100317.01.01.10357,2020-09-30,2021-08-03,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.01.01.10047,2018-09-24,2021-08-03,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100749.01.01.00794,2021-01-18,2022-01-18,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100841.01.01.05420,2020-06-05,2021-06-05,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100841.01.01.05430,2020-07-23,2021-07-23,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.01.01.10050,2018-09-24,2021-08-03,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.01.01.10049,2018-09-24,2021-08-03,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.01.01.10375,2020-11-13,2021-08-03,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.05.01.36429,2020-03-09,2021-09-09,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.01.01.10377,2020-12-29,2021-08-03,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.01.01.10342,2020-08-12,2021-08-03,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.01.01.10341,2020-08-12,2021-08-03,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.01.01.10048,2018-09-24,2021-08-03,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100749.01.01.00787,2021-01-06,2022-01-06,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100841.01.01.05425,2020-06-11,2021-06-11,-,"АО ""Стройконструкция""",921140000156
№ KZ.7100317.01.01.10367,2020-11-04,2021-08-03,-,"АО ""Стройконструкция""",921140000156
