Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/экспортера,Наименование отправителя/экспортера,Адрес отправителя/экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/импортера,Статус сертификата,Дата выдачи,12.03.2025
KZ IR 4 108 05572,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802175,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,P,Республика Казахстан,Iran (Islamic Republic),Действующий,20.09.2024,20.09.2025
KZ IR 4 108 05453,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802174,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,14.09.2024,14.09.2025
KZ IR 4 108 05387,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802173,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,11.09.2024,11.09.2025
KZ IR 4 108 05234,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802172,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,04.09.2024,04.09.2025
KZ IR 4 108 05092,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802171,160540019634,LLP Merke et combinaty,"Zhambyl oblast, merke region T Ruskulov village",Sheep Meat,204210000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,29.08.2024,29.08.2025
KZ IR 4 108 04096,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802170,61240007770,«Kaz-Ir Agro» LLP,"Kazakhstan, Zhambyl area, Shu region,  Berlik village, 1 Auliye ata .  Zip code: 081123",Safflower cake,2306909000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,23.07.2024,23.07.2025
KZ IR 4 108 03962,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802169,61240007770,«Kaz-Ir Agro» LLP,"Kazakhstan, Zhambyl area, Shu region,  Berlik village, 1 Auliye ata .  Zip code: 081123",Safflower cake,2306909000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,17.07.2024,17.07.2025
KZ IR 4 108 03885,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802168,61240007770,«Kaz-Ir Agro» LLP,"Kazakhstan, Zhambyl area, Shu region,  Berlik village, 1 Auliye ata .  Zip code: 081123",Safflower cake,2306909000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,15.07.2024,15.07.2025
KZ IR 4 108 03760,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802167,61240007770,«Kaz-Ir Agro» LLP,"Kazakhstan, Zhambyl area, Shu region,  Berlik village, 1 Auliye ata .  Zip code: 081123",Safflower cake,2306909000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,09.07.2024,09.07.2025
KZ IR 4 108 03577,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-3,1802166,61240007770,«Kaz-Ir Agro» LLP,"Kazakhstan, Zhambyl area, Shu region,  Berlik village, 1 Auliye ata .  Zip code: 081123",Safflower cake,2306909000,WO,Республика Казахстан,Iran (Islamic Republic),Действующий,01.07.2024,01.07.2025
