Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/импортера,Статус сертификата,Дата выдачи
KZ TM 5 110 04303,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1,3009716,940140001234,"АО ""ЕВРАЗИАН ФУДС""","РК, г.Караганды, ул.Бытовая,20 А","Маргарин марки МТ ""Плюшкин"" массовая доля общего жира 48%,  150 г",1517109000,Д1517,Республика Казахстан,Туркменистан,Действующий,27.03.2025
KZ TM 5 110 04303,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1,3009716,940140001234,"АО ""ЕВРАЗИАН ФУДС""","РК, г.Караганды, ул.Бытовая,20 А","Спред растительно-жировой ""Станичное особое"" м.д.ж. 82,5 % (содержание молочного жира до 15 % от м.д.ж.), 5 кг",1517909900,Д1517,Республика Казахстан,Туркменистан,Действующий,27.03.2025
KZ AZ 5 110 04302,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1,3009715,940140001234,"АО ""ЕВРАЗИАН ФУДС""","РК, г.Караганды, ул.Бытовая,20 А","Спред растительно-жировой ""Станичное особое"" массовая доля жира 82,5 %, 5 кг",1517909900,Д1517,Республика Казахстан,Азербайджан,Действующий,27.03.2025
KZ AZ 5 110 04301,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1,3009714,940140001234,"АО ""ЕВРАЗИАН ФУДС""","РК, г.Караганды, ул.Бытовая,20 А","Спред растительно-жировой ""Станичное особое"" массовая доля жира 82,5 %, 5 кг",1517909900,Д1517,Республика Казахстан,Азербайджан,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26","Сухари сдобные со сгущенкой 200 гр

",1905401000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26","Сухари сдобные с изюмом 200 гр
",1905401000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26","Сухари сдобные с орехом, 200 гр.

",1905401000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26","Сухари сдобные ванильные, 200 гр.

",1905401000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26","Сушка ""Чайная"", 350 гр.


",1905909000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26","Сушка с маком, 350 гр.

",1905909000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26","Сушка ванильная, 350 гр.

",1905909000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26","Сушка ""Челночек"", 350 гр.

",1905909000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26","""Сушка ""Челночек"" с маком, 350 гр.

",1905909000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26",Сушка простая вес 5 кг,1905909000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26","Пряник на Фруктозе  300 гр
",1905909000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26",Сушка Диабетическая 300 гр,1905909000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26","Печенье Овсяное на Фруктозе 300 гр
",1905909000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26","Toilay Сушка со сгущенкой, 300 гр.
",1905909000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26","Toilay ""Сушка ""Чайная"", 300 гр.
",1905909000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ GE 5 102 03874,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000707,081140019070,"ТОО ""ФУДМаш Сервис""","г.Алматы, ул.Емцова 26","Toilay Сушка ванильная, 300 гр.
",1905909000,Д1905,Республика Казахстан,Грузия,Действующий,27.03.2025
KZ UZ 5 103 00913,"РПП ""Региональная палата предпринимателей Акмолинской области""",СТ-1 (Узбекистан),3022168,150940004311,"ТОО ""Астана-Трейд-Агро""","160011, Республика Казахстан, г. Шымкент, Аль-Фарабийский р-н, улица Майлы-кожа, дом 88.",Пшеница мягкая 3 класса,1001990000,П,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ UZ 5 108 01361,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-1 (Узбекистан),4008243,090140005307,"Товарищество с ограниченной ответственностью ""Л'Ореаль Казахстан""","Казахстан, город Алматы, Медеуский район, улица Кунаева, дом 77, 2 этаж, Бизнес-центр ""Park View Office Tower""","C4531478
Колор Сенс 4.15 Благородный Рубин / COL SENSATION RU/KZ 4.15 Icy Chestn",3305900009,-,Российская Федерация,Узбекистан,Действующий,27.03.2025
KZ UZ 5 108 01361,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-1 (Узбекистан),4008243,090140005307,"Товарищество с ограниченной ответственностью ""Л'Ореаль Казахстан""","Казахстан, город Алматы, Медеуский район, улица Кунаева, дом 77, 2 этаж, Бизнес-центр ""Park View Office Tower""","C4531479
Колор Сенс 4.15 Благородный Рубин / COL SENSATION RU/KZ 4.15 Icy Chestn",3305900009,-,Российская Федерация,Узбекистан,Действующий,27.03.2025
KZ UZ 5 108 01361,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-1 (Узбекистан),4008243,090140005307,"Товарищество с ограниченной ответственностью ""Л'Ореаль Казахстан""","Казахстан, город Алматы, Медеуский район, улица Кунаева, дом 77, 2 этаж, Бизнес-центр ""Park View Office Tower""","C4532278
Колор Сенс 7.0 Изыск Золотист Топаз / COL SENSATION RU/KZ 7.0 Opal Blond",3305900009,-,Российская Федерация,Узбекистан,Действующий,27.03.2025
KZ UZ 5 108 01361,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-1 (Узбекистан),4008243,090140005307,"Товарищество с ограниченной ответственностью ""Л'Ореаль Казахстан""","Казахстан, город Алматы, Медеуский район, улица Кунаева, дом 77, 2 этаж, Бизнес-центр ""Park View Office Tower""","C4533878
Колор Сенс 4 Королевский оникс / COL SENSATION RU UA KZ 4.0 Deep  Br",3305900009,-,Российская Федерация,Узбекистан,Действующий,27.03.2025
KZ UZ 5 108 01361,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-1 (Узбекистан),4008243,090140005307,"Товарищество с ограниченной ответственностью ""Л'Ореаль Казахстан""","Казахстан, город Алматы, Медеуский район, улица Кунаева, дом 77, 2 этаж, Бизнес-центр ""Park View Office Tower""","C4971281
Колор Сенс 7.12 Жемчуж. Пепел Блонд / COL SENSATION RU/KZ 7.12 SWEET PEAR",3305900009,-,Российская Федерация,Узбекистан,Действующий,27.03.2025
KZ UZ 5 108 01361,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-1 (Узбекистан),4008243,090140005307,"Товарищество с ограниченной ответственностью ""Л'Ореаль Казахстан""","Казахстан, город Алматы, Медеуский район, улица Кунаева, дом 77, 2 этаж, Бизнес-центр ""Park View Office Tower""","C5170678
Колор Сенс 4.10 Ночн.Сапфир / COL SENSATION RU/KZ 4.10 ELECTRIC N",3305900009,-,Российская Федерация,Узбекистан,Действующий,27.03.2025
KZ UZ 5 108 01361,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-1 (Узбекистан),4008243,090140005307,"Товарищество с ограниченной ответственностью ""Л'Ореаль Казахстан""","Казахстан, город Алматы, Медеуский район, улица Кунаева, дом 77, 2 этаж, Бизнес-центр ""Park View Office Tower""","C5369077
Колор Сенс 4.12 Холод Алмазн Шатен / C.SENS.DIAMOND B. RU/KZ 4.12 PURE D",3305900009,-,Российская Федерация,Узбекистан,Действующий,27.03.2025
KZ UZ 5 108 01361,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-1 (Узбекистан),4008243,090140005307,"Товарищество с ограниченной ответственностью ""Л'Ореаль Казахстан""","Казахстан, город Алматы, Медеуский район, улица Кунаева, дом 77, 2 этаж, Бизнес-центр ""Park View Office Tower""","C5369279
Колор Сенс 6.12 Сверк Холодн Мокко / C.SENS.DIAMOND B. RU/KZ 6.12 FROZEN",3305900009,-,Российская Федерация,Узбекистан,Действующий,27.03.2025
KZ UZ 5 108 01361,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-1 (Узбекистан),4008243,090140005307,"Товарищество с ограниченной ответственностью ""Л'Ореаль Казахстан""","Казахстан, город Алматы, Медеуский район, улица Кунаева, дом 77, 2 этаж, Бизнес-центр ""Park View Office Tower""","C5426678
Колор Сенс 910 Пепел Платинов Блонд / COL SENSATION RU/KZ 910 S9  SILVER",3305900009,-,Российская Федерация,Узбекистан,Действующий,27.03.2025
KZ UZ 5 108 01361,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-1 (Узбекистан),4008243,090140005307,"Товарищество с ограниченной ответственностью ""Л'Ореаль Казахстан""","Казахстан, город Алматы, Медеуский район, улица Кунаева, дом 77, 2 этаж, Бизнес-центр ""Park View Office Tower""","C6180105
Колор Сенс 5.62 Царский Гранат / COL SENSATION RU/KZ 5.62 Intense Ga",3305900009,-,Российская Федерация,Узбекистан,Действующий,27.03.2025
KZ UZ 5 108 01361,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-1 (Узбекистан),4008243,090140005307,"Товарищество с ограниченной ответственностью ""Л'Ореаль Казахстан""","Казахстан, город Алматы, Медеуский район, улица Кунаева, дом 77, 2 этаж, Бизнес-центр ""Park View Office Tower""","C6474800
Color Sensation 3.11 Пепельн черный / COL SENSATION 3.11 ASHY ONYX H80",3305900009,-,Российская Федерация,Узбекистан,Действующий,27.03.2025
KZ UZ 5 108 01361,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-1 (Узбекистан),4008243,090140005307,"Товарищество с ограниченной ответственностью ""Л'Ореаль Казахстан""","Казахстан, город Алматы, Медеуский район, улица Кунаева, дом 77, 2 этаж, Бизнес-центр ""Park View Office Tower""","A9889505
Длина Мечты Шампунь 400 мл / ELS DREAM LENGTH SHP B400 RUS",3305100000,-,Российская Федерация,Узбекистан,Действующий,27.03.2025
KZ UZ 5 103 00912,"РПП ""Региональная палата предпринимателей Акмолинской области""",СТ-1 (Узбекистан),3022167,150940004311,"ТОО ""Астана-Трейд-Агро""","160011, Республика Казахстан, г. Шымкент, Аль-Фарабийский р-н, улица Майлы-кожа, дом 88.",Пшеница мягкая 3 класса,1001990000,П,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ TJ 5 102 03821,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000732,150940017630,ТОО «Индустрия Семиречья»,"Казахстан, г. Алматы, Турксибский район, ул. Бекмаханова 96/5","ЛЗМК Эколад 3701-35 SP
",1516209801,-,Российская Федерация,Таджикистан,Действующий,27.03.2025
KZ TJ 5 102 03821,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1,5000732,150940017630,ТОО «Индустрия Семиречья»,"Казахстан, г. Алматы, Турксибский район, ул. Бекмаханова 96/5","ЗМЖ Oilblend 1003-36, Э",1517909900,-,Российская Федерация,Таджикистан,Действующий,27.03.2025
