Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/импортера,Статус сертификата,Дата выдачи
KZ RU 5 108 01366,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-1,4023266,240840037788,"ТОО ""KERUEN FOOD LLP""","Республика Казахстан, Алматинская область, Карасайский район, г,Каскелен, ул.Аубай Байгазиева, 35Б, офис/кв 6",огурцы свежие,0707000502,П,Республика Казахстан,Российская Федерация,Действующий,27.03.2025
KZ RU 5 108 01367,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-1,4023267,240840037788,"ТОО ""KERUEN FOOD LLP""","Республика Казахстан, Алматинская область, Карасайский район, г,Каскелен, ул.Аубай Байгазиева, 35Б, офис/кв 6",огурцы свежие,0707000502,П,Республика Казахстан,Российская Федерация,Действующий,27.03.2025
KZ UZ 5 102 03946,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1 (Узбекистан),4020839,120240024800,ТОО «AlmatyEnterprisingCompanyLtd»  (Алматы Интерпрайзинг компани ЛТД),"Казахстан, город Алматы, Бостандыкский район, улица 22 Линия, дом 46",Уличный платежный терминал,8470500009,Д‌8470,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ RU 5 110 04316,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1,3009721,080940000521,ТОО «Kaz-metiz» (Каз-Метиз),"Республика Казахстан, индекс 100018,  г. Караганда, район Әлихан Бөкейхан,  учетный квартал 042, строение 412.","Проволока 3Вр 1500 - 1
ГОСТ 7348-81",7217109000,Д 7217,Республика Казахстан,Российская Федерация,Действующий,27.03.2025
KZ RU 5 110 04310,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1,3009720,030240005260,"ТОО ""Корпорация Караганды-Нан""","Республика Казахстан
Карагандинская обл., г.Караганда, ул.Камская,91, телефон: 8(7212)422191","Макаронные изделия в/с Перья
рифленые фас.в п/п пачку 2,0 кг.
""Leader del gusto""",1902191000,П,Республика Казахстан,Российская Федерация,Действующий,27.03.2025
KZ RU 5 110 04310,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1,3009720,030240005260,"ТОО ""Корпорация Караганды-Нан""","Республика Казахстан
Карагандинская обл., г.Караганда, ул.Камская,91, телефон: 8(7212)422191","Макаронные изделия в/с Рожки
обыкновенные фас.в п/п пачку 2,0 кг.
 ""Leader del gusto""",1902191000,П,Республика Казахстан,Российская Федерация,Действующий,27.03.2025
KZ RU 5 110 04310,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1,3009720,030240005260,"ТОО ""Корпорация Караганды-Нан""","Республика Казахстан
Карагандинская обл., г.Караганда, ул.Камская,91, телефон: 8(7212)422191","Макаронные изделия в/с Спиральки
фас.в п/п пачку 2,0 кг. ""Leader del gusto""",1902191000,П,Республика Казахстан,Российская Федерация,Действующий,27.03.2025
KZ RU 5 110 04310,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1,3009720,030240005260,"ТОО ""Корпорация Караганды-Нан""","Республика Казахстан
Карагандинская обл., г.Караганда, ул.Камская,91, телефон: 8(7212)422191","Макаронные изделия в/с Лингвини
фас.в п/п пачку 2,0кг. ""Leader del gusto""",1902191000,П,Республика Казахстан,Российская Федерация,Действующий,27.03.2025
KZ RU 5 110 04309,"РПП ""Региональная палата предпринимателей Карагандинской области""",СТ-1,3009719,030240005260,"ТОО ""Корпорация Караганды-Нан""","Республика Казахстан
Карагандинская обл., г.Караганда, ул.Камская,91
телефон: 8(7212)422191","Макаронные изделия в/с Лингвини
фас.в п/п пачку 2,0 кг.""Leader del gusto""",1902191000,П,Республика Казахстан,Российская Федерация,Действующий,27.03.2025
KZ UZ 5 111 02030,"РПП ""Региональная палата предпринимателей Костанайской области""",СТ-1 (Узбекистан),5019752,910540000047,АО «Костанайские минералы»,"110700, Республика Казахстан, Костанайская область, г. Житикара, ул. Ленина, 67","Хризотил марки 
5-65",2524900000,П,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ TM 5 111 02025,"РПП ""Региональная палата предпринимателей Костанайской области""",СТ-1,4028917,910540000047,АО «Костанайские минералы»,"110700, Республика Казахстан, Костанайская область, г. Житикара, ул. Ленина, 67","Асбест хризотиловый 
5-50",2524900000,-,Республика Казахстан,Туркменистан,Действующий,27.03.2025
KZ UZ 5 102 03896,"РПП ""Региональная палата предпринимателей г.Алматы""",СТ-1 (Узбекистан),4020817,191140018223,"ТОО ""Сика Сентрал Эйша""","050016, РК, г. Алматы, пр. Райымбека, 211 А, РК.","MasterFlow 928  - смесь сухая 
строительная, на цементной 
основе, безусадочной, текучей 
консистенции (25 кг бумажный 
мешок) 63000 кг",3824509000,Д3824,Республика Казахстан,Узбекистан,Действующий,27.03.2025
KZ RU 5 106 00686,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-1,2015465,050140001139,"ПК ""Каспий таны""","Атырауская область, Курмангазинский район, с. Сафоновка, ул. Женис,9",Лещ мороженый,0303891070,П,Республика Казахстан,Российская Федерация,Действующий,27.03.2025
KZ RU 5 106 00686,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-1,2015465,050140001139,"ПК ""Каспий таны""","Атырауская область, Курмангазинский район, с. Сафоновка, ул. Женис,9",Вобла мороженая,0303891070,П,Республика Казахстан,Российская Федерация,Действующий,27.03.2025
KZ RU 5 106 00686,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-1,2015465,050140001139,"ПК ""Каспий таны""","Атырауская область, Курмангазинский район, с. Сафоновка, ул. Женис,9",Красноперка мороженая,0303891070,П,Республика Казахстан,Российская Федерация,Действующий,27.03.2025
KZ RU 5 106 00686,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-1,2015465,050140001139,"ПК ""Каспий таны""","Атырауская область, Курмангазинский район, с. Сафоновка, ул. Женис,9",Окунь мороженый,0303891070,П,Республика Казахстан,Российская Федерация,Действующий,27.03.2025
